teryt,Gmina,Województwo,turnout_r1,mentzen_pct,nawrocki_pct_r1,eligible,turnout_r2,nawrocki_pct,duda_2020,turnout_2020,turnout_delta,nawrocki_swing,trzaskowski_2020_r2,duda_2020_r2,turnout_2020_r2,trzaskowski_2025_r2,trzaskowski_shift,nawrocki_vs_duda,braun,holownia,biejat,zandberg,fragmentation,anti_estab,left_bloc,trzaskowski_r2,teryt_str,commune_type_code,commune_type,is_urban,right_bloc,bloc_diff,pkw_code_x,pop_density,pkw_code_y,urban_rate,pkw_code,unemployed,unemployed_rate
20402,gm. Jemielno,dolnośląskie,55.30932594644506,18.48101265822785,41.18143459915612,2166.0,61.96461824953445,72.16338880484115,60.14,52.51,6.655292303089389,30.981954205685028,31.76,68.24,58.38,27.83661119515885,-3.923388804841149,3.923388804841153,10.21097046413502,1.9409282700421944,3.7130801687763713,1.9409282700421944,0.7486022539123004,29.78902953586498,5.654008438818566,27.836611195158852,020402,2,Urban-Rural,0,28.69198312236287,23.037974683544306,,,,,,,
20403,gm. Niechlów,dolnośląskie,56.68479816776409,19.42886282508924,39.92860785313616,3493.0,60.24165707710012,71.95357833655706,60.48,53.04,3.5568589093360288,32.0249704834209,30.03,69.97,59.97,28.046421663442946,-1.9835783365570592,1.9835783365570592,9.688934217236104,3.11065782763896,3.8755736868944415,3.161652218255992,0.7596497327670295,30.086690464048957,7.037225905150434,28.046421663442942,020403,3,Rural,0,29.117797042325343,22.080571137174907,,,,,,,
20404,gm. Wąsosz,dolnośląskie,56.642170717919726,17.935871743486974,33.26653306613226,5307.0,61.76917236142748,59.54742715437074,51.61,52.89,5.127001643507754,26.28089408823848,42.44,57.56,59.4,40.45257284562926,-1.9874271543707351,1.9874271543707351,6.713426853707414,4.041416165664663,4.008016032064128,4.041416165664663,0.7747003693425596,25.35070140280561,8.049432197728791,40.45257284562926,020404,4,Urban,1,24.649298597194388,16.599866399465597,,,,,,,
20501,m. Jawor,dolnośląskie,61.41220192009909,12.440482220646338,33.0260358626279,16145.0,66.82960456226108,51.88233068482785,45.54,60.53,5.4174026421619885,18.85629482219995,48.17,51.83,63.74,48.11766931517215,-0.0523306848278508,0.0523306848278508,6.595076486678147,4.346064228548273,3.859791307871543,4.001620909735589,0.7595620317001691,19.957451119440783,7.861412217607132,48.11766931517215,020501,1,Urban,1,19.035558707324483,11.174146489717351,,,,,,,
20502,gm. Bolków,dolnośląskie,55.29770587455245,13.972007722007724,30.64671814671815,7541.0,61.036878674505616,51.6821602478973,47.24,55.09,5.739172799953167,21.03544210117915,47.27,52.73,58.91,48.3178397521027,1.0478397521026963,-1.0478397521026963,7.094594594594595,4.126447876447877,4.198841698841699,3.474903474903475,0.7678866081677375,22.345559845559848,7.673745173745174,48.3178397521027,020502,2,Urban-Rural,0,21.06660231660232,13.392857142857146,,,,,,,
20503,gm. Męcinka,dolnośląskie,62.62061960385983,17.836734693877553,38.12244897959184,3938.0,67.51657317695053,63.97869912514263,56.28,60.34,4.895953573090701,25.8562501455508,36.46,63.54,64.86,36.02130087485737,-0.4386991251426337,0.4386991251426337,8.081632653061224,3.387755102040816,3.5510204081632657,3.428571428571429,0.7610420658059142,26.89795918367347,6.979591836734695,36.02130087485737,020503,3,Rural,0,25.918367346938776,18.93877551020408,,,,,,,
20504,gm. Mściwojów,dolnośląskie,59.54757152361943,16.974789915966387,32.60504201680672,3006.0,64.84110885733604,55.93487394957983,48.24,58.06,5.293537333716614,23.32983193277311,43.62,56.38,61.9,44.06512605042017,0.4451260504201713,-0.4451260504201713,7.450980392156863,4.145658263305322,2.9131652661064424,2.857142857142857,0.7671900132602061,25.434173669467786,5.7703081232493,44.06512605042017,020504,4,Urban,1,24.425770308123248,18.655462184873947,,,,,,,
20505,gm. Paszowice,dolnośląskie,61.4904895541004,18.89683350357508,31.818181818181817,3207.0,66.6038328620798,59.41960038058991,49.95,57.31,5.113343307979399,27.601418562408096,42.35,57.65,61.57,40.58039961941009,-1.769600380589914,1.769600380589914,8.22267620020429,3.932584269662921,3.3707865168539324,3.7793667007150153,0.7834856292666945,28.294177732379985,7.150153217568947,40.58039961941009,020505,5,Rural,0,27.11950970377937,19.969356486210422,,,,,,,
20506,gm. Wądroże Wielkie,dolnośląskie,59.22103861517976,18.60859728506788,33.76696832579186,3004.0,65.59539918809202,56.44490644490644,48.57,60.7,6.374360572912259,22.67793811911458,43.41,56.59,65.94,43.55509355509356,0.1450935550935668,-0.1450935550935668,6.61764705882353,4.411764705882353,2.771493212669683,2.8846153846153846,0.7651742388566982,25.96153846153846,5.656108597285067,43.55509355509356,020506,6,,0,25.22624434389141,19.57013574660634,,,,,,,
20601,m. Karpacz,dolnośląskie,65.6464250734574,10.61682242990654,16.598130841121495,4084.0,74.19898819561551,30.36888761795825,22.84,65.8,8.55256312215812,13.770756776836755,72.04,27.96,74.92,69.63111238204175,-2.408887617958257,2.40888761795825,5.644859813084111,4.336448598130841,4.672897196261682,4.710280373831776,0.7102877805921914,17.345794392523363,9.383177570093459,69.63111238204175,020601,1,Urban,1,16.261682242990652,6.8785046728971935,,,,,,,
20602,m. Kowary,dolnośląskie,57.87104461803258,10.309988518943742,22.13547646383467,7553.0,63.70913942628419,37.66645529486367,32.89,56.83,5.838094808251611,15.530978831028996,61.44,38.56,61.61,62.33354470513633,0.8935447051363354,-0.8935447051363354,6.360505166475315,3.8576349024110215,4.7990815154994255,3.3524684270952925,0.7198738797402198,17.497129735935705,8.151549942594718,62.33354470513633,020602,2,Urban-Rural,0,16.670493685419057,8.518943742824339,,,,,,,
20603,m. Piechowice,dolnośląskie,62.32402234636872,11.544011544011545,22.943722943722943,4475.0,67.67519466073415,38.081009296148736,31.62,61.84,5.351172314365435,15.137286352425791,63.31,36.69,66.4,61.918990703851264,-1.391009296148738,1.391009296148738,5.988455988455989,4.112554112554113,4.004329004329004,3.896103896103896,0.7343729502820412,19.119769119769124,7.9004329004329,61.918990703851264,020603,3,Rural,0,17.532467532467535,9.632034632034635,,,,,,,
20604,m. Szklarska Poręba,dolnośląskie,66.18548546569112,10.81081081081081,22.46246246246246,5057.0,72.87773625200214,35.21161417322835,29.3,66.23,6.692250786311021,12.749151710765886,66.36,33.64,74.09,64.78838582677164,-1.5716141732283546,1.5716141732283475,4.744744744744745,5.675675675675676,4.804804804804805,4.954954954954955,0.7393543994444896,16.306306306306308,9.75975975975976,64.78838582677164,020604,4,Urban,1,15.555555555555555,5.7957957957957955,,,,,,,
20605,gm. Janowice Wielkie,dolnośląskie,61.69230769230769,12.468703054581871,22.934401602403607,3250.0,67.0103092783505,39.81735159817352,33.06,61.4,5.318001586042811,16.88294999576991,59.25,40.75,67.47,60.18264840182648,0.9326484018264763,-0.9326484018264763,6.559839759639459,3.85578367551327,3.85578367551327,3.8057085628442655,0.7391658343800127,20.030045067601403,7.6614922383575355,60.18264840182648,020605,5,Rural,0,19.028542814221332,11.367050575863797,,,,,,,
20606,gm. Jeżów Sudecki,dolnośląskie,64.04344193817877,12.89646133682831,20.078636959370904,5985.0,68.82570659488559,36.88867043499632,30.3,64.73,4.782264656706815,16.81003347562541,64.99,35.01,67.18,63.11132956500368,-1.878670434996316,1.878670434996323,5.478374836173002,4.246395806028834,4.036697247706423,3.8269986893840096,0.7250921296049773,19.842726081258192,7.863695937090432,63.11132956500368,020606,6,,0,18.374836173001313,10.511140235910881,,,,,,,
