"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0202035;"Pieszyce - rural area (5)";"population chenge per 1000 inhabitants";"2023";-6.0;"person";"";
0202035;"Pieszyce - rural area (5)";"population in thousands";"2023";2.14;"thousand persons";"";
0202035;"Pieszyce - rural area (5)";"population in thousands men";"2023";1.10;"thousand persons";"";
0202035;"Pieszyce - rural area (5)";"population in thousands women";"2023";1.04;"thousand persons";"";
0202035;"Pieszyce - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
0202041;"Piława Górna (1)";"population per 1 km2";"2023";282.1;"person";"";
0202041;"Piława Górna (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202041;"Piława Górna (1)";"population chenge per 1000 inhabitants";"2023";-10.9;"person";"";
0202041;"Piława Górna (1)";"population in thousands";"2023";5.90;"thousand persons";"";
0202041;"Piława Górna (1)";"population in thousands men";"2023";2.84;"thousand persons";"";
0202041;"Piława Górna (1)";"population in thousands women";"2023";3.06;"thousand persons";"";
0202041;"Piława Górna (1)";"urbanization rate";"2023";100.0;"%";"";
0202052;"Dzierżoniów (2)";"population per 1 km2";"2023";64.9;"person";"";
0202052;"Dzierżoniów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202052;"Dzierżoniów (2)";"population chenge per 1000 inhabitants";"2023";-4.6;"person";"";
0202052;"Dzierżoniów (2)";"population in thousands";"2023";9.15;"thousand persons";"";
0202052;"Dzierżoniów (2)";"population in thousands men";"2023";4.51;"thousand persons";"";
0202052;"Dzierżoniów (2)";"population in thousands women";"2023";4.64;"thousand persons";"";
0202052;"Dzierżoniów (2)";"urbanization rate";"2023";0.0;"%";"";
0202062;"Łagiewniki (2)";"population per 1 km2";"2023";57.1;"person";"";
0202062;"Łagiewniki (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202062;"Łagiewniki (2)";"population chenge per 1000 inhabitants";"2023";-10.3;"person";"";
0202062;"Łagiewniki (2)";"population in thousands";"2023";7.12;"thousand persons";"";
0202062;"Łagiewniki (2)";"population in thousands men";"2023";3.50;"thousand persons";"";
0202062;"Łagiewniki (2)";"population in thousands women";"2023";3.62;"thousand persons";"";
0202062;"Łagiewniki (2)";"urbanization rate";"2023";0.0;"%";"";
0202073;"Niemcza (3)";"population per 1 km2";"2023";69.9;"person";"";
0202073;"Niemcza (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202073;"Niemcza (3)";"population chenge per 1000 inhabitants";"2023";-20.1;"person";"";
0202073;"Niemcza (3)";"population in thousands";"2023";5.02;"thousand persons";"";
0202073;"Niemcza (3)";"population in thousands men";"2023";2.45;"thousand persons";"";
0202073;"Niemcza (3)";"population in thousands women";"2023";2.57;"thousand persons";"";
0202073;"Niemcza (3)";"urbanization rate";"2023";53.4;"%";"";
