"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
1418024;"Konstancin-Jeziorna - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population per 1 km2";"2023";134.7;"person";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population chenge per 1000 inhabitants";"2023";6.0;"person";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population in thousands";"2023";8.19;"thousand persons";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population in thousands men";"2023";4.04;"thousand persons";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"population in thousands women";"2023";4.15;"thousand persons";"";
1418025;"Konstancin-Jeziorna - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1418032;"Lesznowola (2)";"population per 1 km2";"2023";555.3;"person";"";
1418032;"Lesznowola (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418032;"Lesznowola (2)";"population chenge per 1000 inhabitants";"2023";45.9;"person";"";
1418032;"Lesznowola (2)";"population in thousands";"2023";38.48;"thousand persons";"";
1418032;"Lesznowola (2)";"population in thousands men";"2023";18.82;"thousand persons";"";
1418032;"Lesznowola (2)";"population in thousands women";"2023";19.66;"thousand persons";"";
1418032;"Lesznowola (2)";"urbanization rate";"2023";0.0;"%";"";
1418043;"Piaseczno (3)";"population per 1 km2";"2023";758.6;"person";"";
1418043;"Piaseczno (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418043;"Piaseczno (3)";"population chenge per 1000 inhabitants";"2023";8.8;"person";"";
1418043;"Piaseczno (3)";"population in thousands";"2023";97.29;"thousand persons";"";
1418043;"Piaseczno (3)";"population in thousands men";"2023";46.59;"thousand persons";"";
1418043;"Piaseczno (3)";"population in thousands women";"2023";50.70;"thousand persons";"";
1418043;"Piaseczno (3)";"urbanization rate";"2023";53.4;"%";"";
1418044;"Piaseczno - urban area (4)";"population per 1 km2";"2023";3202.2;"person";"";
1418044;"Piaseczno - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418044;"Piaseczno - urban area (4)";"population chenge per 1000 inhabitants";"2023";-0.9;"person";"";
1418044;"Piaseczno - urban area (4)";"population in thousands";"2023";51.97;"thousand persons";"";
1418044;"Piaseczno - urban area (4)";"population in thousands men";"2023";24.68;"thousand persons";"";
1418044;"Piaseczno - urban area (4)";"population in thousands women";"2023";27.29;"thousand persons";"";
1418044;"Piaseczno - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1418045;"Piaseczno - rural area (5)";"population per 1 km2";"2023";404.6;"person";"";
1418045;"Piaseczno - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418045;"Piaseczno - rural area (5)";"population chenge per 1000 inhabitants";"2023";20.1;"person";"";
1418045;"Piaseczno - rural area (5)";"population in thousands";"2023";45.32;"thousand persons";"";
1418045;"Piaseczno - rural area (5)";"population in thousands men";"2023";21.91;"thousand persons";"";
1418045;"Piaseczno - rural area (5)";"population in thousands women";"2023";23.41;"thousand persons";"";
1418045;"Piaseczno - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1418052;"Prażmów (2)";"population per 1 km2";"2023";154.6;"person";"";
1418052;"Prażmów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418052;"Prażmów (2)";"population chenge per 1000 inhabitants";"2023";16.9;"person";"";
1418052;"Prażmów (2)";"population in thousands";"2023";13.37;"thousand persons";"";
1418052;"Prażmów (2)";"population in thousands men";"2023";6.51;"thousand persons";"";
1418052;"Prażmów (2)";"population in thousands women";"2023";6.86;"thousand persons";"";
1418052;"Prażmów (2)";"urbanization rate";"2023";0.0;"%";"";
1418063;"Tarczyn (3)";"population per 1 km2";"2023";109.1;"person";"";
1418063;"Tarczyn (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418063;"Tarczyn (3)";"population chenge per 1000 inhabitants";"2023";10.5;"person";"";
1418063;"Tarczyn (3)";"population in thousands";"2023";12.46;"thousand persons";"";
1418063;"Tarczyn (3)";"population in thousands men";"2023";6.12;"thousand persons";"";
1418063;"Tarczyn (3)";"population in thousands women";"2023";6.35;"thousand persons";"";
1418063;"Tarczyn (3)";"urbanization rate";"2023";34.8;"%";"";
1418064;"Tarczyn - urban area (4)";"population per 1 km2";"2023";830.4;"person";"";
1418064;"Tarczyn - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418064;"Tarczyn - urban area (4)";"population chenge per 1000 inhabitants";"2023";14.0;"person";"";
1418064;"Tarczyn - urban area (4)";"population in thousands";"2023";4.34;"thousand persons";"";
1418064;"Tarczyn - urban area (4)";"population in thousands men";"2023";2.09;"thousand persons";"";
1418064;"Tarczyn - urban area (4)";"population in thousands women";"2023";2.25;"thousand persons";"";
1418064;"Tarczyn - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1418065;"Tarczyn - rural area (5)";"population per 1 km2";"2023";74.5;"person";"";
1418065;"Tarczyn - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1418065;"Tarczyn - rural area (5)";"population chenge per 1000 inhabitants";"2023";8.6;"person";"";
1418065;"Tarczyn - rural area (5)";"population in thousands";"2023";8.12;"thousand persons";"";
1418065;"Tarczyn - rural area (5)";"population in thousands men";"2023";4.03;"thousand persons";"";
1418065;"Tarczyn - rural area (5)";"population in thousands women";"2023";4.09;"thousand persons";"";
1418065;"Tarczyn - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1419000;"Powiat płocki";"population per 1 km2";"2023";61.0;"person";"";
1419000;"Powiat płocki";"population density of the built-up and urbanized area";"2023";;"person";"";
1419000;"Powiat płocki";"population chenge per 1000 inhabitants";"2023";-1.9;"person";"";
1419000;"Powiat płocki";"population in thousands";"2023";109.53;"thousand persons";"";
1419000;"Powiat płocki";"population in thousands men";"2023";54.40;"thousand persons";"";
1419000;"Powiat płocki";"population in thousands women";"2023";55.13;"thousand persons";"";
1419000;"Powiat płocki";"urbanization rate";"2023";9.4;"%";"";
1419012;"Bielsk (2)";"population per 1 km2";"2023";70.9;"person";"";
1419012;"Bielsk (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419012;"Bielsk (2)";"population chenge per 1000 inhabitants";"2023";-4.4;"person";"";
1419012;"Bielsk (2)";"population in thousands";"2023";8.87;"thousand persons";"";
1419012;"Bielsk (2)";"population in thousands men";"2023";4.42;"thousand persons";"";
1419012;"Bielsk (2)";"population in thousands women";"2023";4.46;"thousand persons";"";
1419012;"Bielsk (2)";"urbanization rate";"2023";0.0;"%";"";
1419023;"Bodzanów (3)";"population per 1 km2";"2023";56.9;"person";"";
1419023;"Bodzanów (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419023;"Bodzanów (3)";"population chenge per 1000 inhabitants";"2023";0.0;"person";"z";
1419023;"Bodzanów (3)";"population in thousands";"2023";7.75;"thousand persons";"";
1419023;"Bodzanów (3)";"population in thousands men";"2023";3.86;"thousand persons";"";
1419023;"Bodzanów (3)";"population in thousands women";"2023";3.89;"thousand persons";"";
1419023;"Bodzanów (3)";"urbanization rate";"2023";14.5;"%";"";
1419024;"Bodzanów - urban area (4)";"population per 1 km2";"2023";233.1;"person";"";
1419024;"Bodzanów - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419024;"Bodzanów - urban area (4)";"population chenge per 1000 inhabitants";"2023";0.0;"person";"z";
1419024;"Bodzanów - urban area (4)";"population in thousands";"2023";1.12;"thousand persons";"";
1419024;"Bodzanów - urban area (4)";"population in thousands men";"2023";0.56;"thousand persons";"";
1419024;"Bodzanów - urban area (4)";"population in thousands women";"2023";0.56;"thousand persons";"";
1419024;"Bodzanów - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1419025;"Bodzanów - rural area (5)";"population per 1 km2";"2023";50.4;"person";"";
1419025;"Bodzanów - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419025;"Bodzanów - rural area (5)";"population chenge per 1000 inhabitants";"2023";0.0;"person";"z";
1419025;"Bodzanów - rural area (5)";"population in thousands";"2023";6.63;"thousand persons";"";
1419025;"Bodzanów - rural area (5)";"population in thousands men";"2023";3.31;"thousand persons";"";
1419025;"Bodzanów - rural area (5)";"population in thousands women";"2023";3.33;"thousand persons";"";
1419025;"Bodzanów - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1419032;"Brudzeń Duży (2)";"population per 1 km2";"2023";51.6;"person";"";
1419032;"Brudzeń Duży (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419032;"Brudzeń Duży (2)";"population chenge per 1000 inhabitants";"2023";0.7;"person";"";
1419032;"Brudzeń Duży (2)";"population in thousands";"2023";8.25;"thousand persons";"";
1419032;"Brudzeń Duży (2)";"population in thousands men";"2023";4.10;"thousand persons";"";
1419032;"Brudzeń Duży (2)";"population in thousands women";"2023";4.16;"thousand persons";"";
1419032;"Brudzeń Duży (2)";"urbanization rate";"2023";0.0;"%";"";
1419042;"Bulkowo (2)";"population per 1 km2";"2023";44.4;"person";"";
1419042;"Bulkowo (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419042;"Bulkowo (2)";"population chenge per 1000 inhabitants";"2023";-10.7;"person";"";
1419042;"Bulkowo (2)";"population in thousands";"2023";5.19;"thousand persons";"";
1419042;"Bulkowo (2)";"population in thousands men";"2023";2.57;"thousand persons";"";
1419042;"Bulkowo (2)";"population in thousands women";"2023";2.62;"thousand persons";"";
1419042;"Bulkowo (2)";"urbanization rate";"2023";0.0;"%";"";
1419053;"Drobin (3)";"population per 1 km2";"2023";50.8;"person";"";
1419053;"Drobin (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419053;"Drobin (3)";"population chenge per 1000 inhabitants";"2023";-10.1;"person";"";
1419053;"Drobin (3)";"population in thousands";"2023";7.29;"thousand persons";"";
1419053;"Drobin (3)";"population in thousands men";"2023";3.64;"thousand persons";"";
1419053;"Drobin (3)";"population in thousands women";"2023";3.65;"thousand persons";"";
1419053;"Drobin (3)";"urbanization rate";"2023";36.1;"%";"";
1419054;"Drobin - urban area (4)";"population per 1 km2";"2023";272.6;"person";"";
1419054;"Drobin - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419054;"Drobin - urban area (4)";"population chenge per 1000 inhabitants";"2023";-9.8;"person";"";
1419054;"Drobin - urban area (4)";"population in thousands";"2023";2.63;"thousand persons";"";
1419054;"Drobin - urban area (4)";"population in thousands men";"2023";1.28;"thousand persons";"";
1419054;"Drobin - urban area (4)";"population in thousands women";"2023";1.36;"thousand persons";"";
1419054;"Drobin - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1419055;"Drobin - rural area (5)";"population per 1 km2";"2023";34.8;"person";"";
1419055;"Drobin - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419055;"Drobin - rural area (5)";"population chenge per 1000 inhabitants";"2023";-10.2;"person";"";
1419055;"Drobin - rural area (5)";"population in thousands";"2023";4.66;"thousand persons";"";
1419055;"Drobin - rural area (5)";"population in thousands men";"2023";2.36;"thousand persons";"";
1419055;"Drobin - rural area (5)";"population in thousands women";"2023";2.30;"thousand persons";"";
1419055;"Drobin - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1419063;"Gąbin (3)";"population per 1 km2";"2023";76.3;"person";"";
1419063;"Gąbin (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419063;"Gąbin (3)";"population chenge per 1000 inhabitants";"2023";4.8;"person";"";
1419063;"Gąbin (3)";"population in thousands";"2023";11.15;"thousand persons";"";
1419063;"Gąbin (3)";"population in thousands men";"2023";5.46;"thousand persons";"";
1419063;"Gąbin (3)";"population in thousands women";"2023";5.70;"thousand persons";"";
1419063;"Gąbin (3)";"urbanization rate";"2023";37.0;"%";"";
1419064;"Gąbin - urban area (4)";"population per 1 km2";"2023";147.5;"person";"";
1419064;"Gąbin - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419064;"Gąbin - urban area (4)";"population chenge per 1000 inhabitants";"2023";6.6;"person";"";
1419064;"Gąbin - urban area (4)";"population in thousands";"2023";4.12;"thousand persons";"";
1419064;"Gąbin - urban area (4)";"population in thousands men";"2023";1.95;"thousand persons";"";
1419064;"Gąbin - urban area (4)";"population in thousands women";"2023";2.17;"thousand persons";"";
1419064;"Gąbin - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1419065;"Gąbin - rural area (5)";"population per 1 km2";"2023";59.4;"person";"";
1419065;"Gąbin - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419065;"Gąbin - rural area (5)";"population chenge per 1000 inhabitants";"2023";3.7;"person";"";
1419065;"Gąbin - rural area (5)";"population in thousands";"2023";7.03;"thousand persons";"";
1419065;"Gąbin - rural area (5)";"population in thousands men";"2023";3.50;"thousand persons";"";
1419065;"Gąbin - rural area (5)";"population in thousands women";"2023";3.52;"thousand persons";"";
1419065;"Gąbin - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1419072;"Łąck (2)";"population per 1 km2";"2023";57.1;"person";"";
1419072;"Łąck (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419072;"Łąck (2)";"population chenge per 1000 inhabitants";"2023";1.3;"person";"";
1419072;"Łąck (2)";"population in thousands";"2023";5.36;"thousand persons";"";
1419072;"Łąck (2)";"population in thousands men";"2023";2.57;"thousand persons";"";
1419072;"Łąck (2)";"population in thousands women";"2023";2.79;"thousand persons";"";
1419072;"Łąck (2)";"urbanization rate";"2023";0.0;"%";"";
1419082;"Mała Wieś (2)";"population per 1 km2";"2023";51.8;"person";"";
1419082;"Mała Wieś (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419082;"Mała Wieś (2)";"population chenge per 1000 inhabitants";"2023";-9.7;"person";"";
1419082;"Mała Wieś (2)";"population in thousands";"2023";5.63;"thousand persons";"";
1419082;"Mała Wieś (2)";"population in thousands men";"2023";2.78;"thousand persons";"";
1419082;"Mała Wieś (2)";"population in thousands women";"2023";2.85;"thousand persons";"";
1419082;"Mała Wieś (2)";"urbanization rate";"2023";0.0;"%";"";
1419092;"Nowy Duninów (2)";"population per 1 km2";"2023";26.9;"person";"";
1419092;"Nowy Duninów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419092;"Nowy Duninów (2)";"population chenge per 1000 inhabitants";"2023";-4.1;"person";"";
1419092;"Nowy Duninów (2)";"population in thousands";"2023";3.93;"thousand persons";"";
1419092;"Nowy Duninów (2)";"population in thousands men";"2023";1.95;"thousand persons";"";
1419092;"Nowy Duninów (2)";"population in thousands women";"2023";1.98;"thousand persons";"";
1419092;"Nowy Duninów (2)";"urbanization rate";"2023";0.0;"%";"";
1419102;"Radzanowo (2)";"population per 1 km2";"2023";83.3;"person";"";
1419102;"Radzanowo (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419102;"Radzanowo (2)";"population chenge per 1000 inhabitants";"2023";6.2;"person";"";
1419102;"Radzanowo (2)";"population in thousands";"2023";8.71;"thousand persons";"";
1419102;"Radzanowo (2)";"population in thousands men";"2023";4.38;"thousand persons";"";
1419102;"Radzanowo (2)";"population in thousands women";"2023";4.33;"thousand persons";"";
1419102;"Radzanowo (2)";"urbanization rate";"2023";0.0;"%";"";
1419112;"Słubice (2)";"population per 1 km2";"2023";43.0;"person";"";
1419112;"Słubice (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419112;"Słubice (2)";"population chenge per 1000 inhabitants";"2023";-7.5;"person";"";
1419112;"Słubice (2)";"population in thousands";"2023";4.12;"thousand persons";"";
1419112;"Słubice (2)";"population in thousands men";"2023";2.07;"thousand persons";"";
1419112;"Słubice (2)";"population in thousands women";"2023";2.05;"thousand persons";"";
1419112;"Słubice (2)";"urbanization rate";"2023";0.0;"%";"";
1419122;"Słupno (2)";"population per 1 km2";"2023";120.8;"person";"";
1419122;"Słupno (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419122;"Słupno (2)";"population chenge per 1000 inhabitants";"2023";14.9;"person";"";
1419122;"Słupno (2)";"population in thousands";"2023";9.05;"thousand persons";"";
1419122;"Słupno (2)";"population in thousands men";"2023";4.57;"thousand persons";"";
1419122;"Słupno (2)";"population in thousands women";"2023";4.48;"thousand persons";"";
1419122;"Słupno (2)";"urbanization rate";"2023";0.0;"%";"";
1419132;"Stara Biała (2)";"population per 1 km2";"2023";110.4;"person";"";
1419132;"Stara Biała (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419132;"Stara Biała (2)";"population chenge per 1000 inhabitants";"2023";1.5;"person";"";
1419132;"Stara Biała (2)";"population in thousands";"2023";12.27;"thousand persons";"";
1419132;"Stara Biała (2)";"population in thousands men";"2023";6.13;"thousand persons";"";
1419132;"Stara Biała (2)";"population in thousands women";"2023";6.14;"thousand persons";"";
1419132;"Stara Biała (2)";"urbanization rate";"2023";0.0;"%";"";
1419142;"Staroźreby (2)";"population per 1 km2";"2023";49.2;"person";"";
1419142;"Staroźreby (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419142;"Staroźreby (2)";"population chenge per 1000 inhabitants";"2023";-7.9;"person";"";
1419142;"Staroźreby (2)";"population in thousands";"2023";6.77;"thousand persons";"";
1419142;"Staroźreby (2)";"population in thousands men";"2023";3.38;"thousand persons";"";
1419142;"Staroźreby (2)";"population in thousands women";"2023";3.39;"thousand persons";"";
1419142;"Staroźreby (2)";"urbanization rate";"2023";0.0;"%";"";
1419153;"Wyszogród (3)";"population per 1 km2";"2023";54.2;"person";"";
1419153;"Wyszogród (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419153;"Wyszogród (3)";"population chenge per 1000 inhabitants";"2023";-10.7;"person";"";
1419153;"Wyszogród (3)";"population in thousands";"2023";5.19;"thousand persons";"";
1419153;"Wyszogród (3)";"population in thousands men";"2023";2.55;"thousand persons";"";
1419153;"Wyszogród (3)";"population in thousands women";"2023";2.64;"thousand persons";"";
1419153;"Wyszogród (3)";"urbanization rate";"2023";46.3;"%";"";
1419154;"Wyszogród - urban area (4)";"population per 1 km2";"2023";185.0;"person";"";
1419154;"Wyszogród - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419154;"Wyszogród - urban area (4)";"population chenge per 1000 inhabitants";"2023";-9.5;"person";"";
1419154;"Wyszogród - urban area (4)";"population in thousands";"2023";2.40;"thousand persons";"";
1419154;"Wyszogród - urban area (4)";"population in thousands men";"2023";1.17;"thousand persons";"";
1419154;"Wyszogród - urban area (4)";"population in thousands women";"2023";1.24;"thousand persons";"";
1419154;"Wyszogród - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1419155;"Wyszogród - rural area (5)";"population per 1 km2";"2023";33.7;"person";"";
1419155;"Wyszogród - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1419155;"Wyszogród - rural area (5)";"population chenge per 1000 inhabitants";"2023";-11.7;"person";"";
1419155;"Wyszogród - rural area (5)";"population in thousands";"2023";2.79;"thousand persons";"";
1419155;"Wyszogród - rural area (5)";"population in thousands men";"2023";1.38;"thousand persons";"";
1419155;"Wyszogród - rural area (5)";"population in thousands women";"2023";1.41;"thousand persons";"";
1419155;"Wyszogród - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1420000;"Powiat płoński";"population per 1 km2";"2023";60.9;"person";"";
1420000;"Powiat płoński";"population density of the built-up and urbanized area";"2023";;"person";"";
1420000;"Powiat płoński";"population chenge per 1000 inhabitants";"2023";-4.5;"person";"";
1420000;"Powiat płoński";"population in thousands";"2023";84.01;"thousand persons";"";
1420000;"Powiat płoński";"population in thousands men";"2023";41.24;"thousand persons";"";
1420000;"Powiat płoński";"population in thousands women";"2023";42.76;"thousand persons";"";
1420000;"Powiat płoński";"urbanization rate";"2023";35.6;"%";"";
1420011;"Płońsk (1)";"population per 1 km2";"2023";1856.0;"person";"";
1420011;"Płońsk (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420011;"Płońsk (1)";"population chenge per 1000 inhabitants";"2023";-2.8;"person";"";
1420011;"Płońsk (1)";"population in thousands";"2023";21.53;"thousand persons";"";
1420011;"Płońsk (1)";"population in thousands men";"2023";10.04;"thousand persons";"";
1420011;"Płońsk (1)";"population in thousands women";"2023";11.49;"thousand persons";"";
1420011;"Płońsk (1)";"urbanization rate";"2023";100.0;"%";"";
1420021;"Raciąż (1)";"population per 1 km2";"2023";472.1;"person";"";
1420021;"Raciąż (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420021;"Raciąż (1)";"population chenge per 1000 inhabitants";"2023";-7.0;"person";"";
1420021;"Raciąż (1)";"population in thousands";"2023";3.97;"thousand persons";"";
1420021;"Raciąż (1)";"population in thousands men";"2023";1.92;"thousand persons";"";
1420021;"Raciąż (1)";"population in thousands women";"2023";2.04;"thousand persons";"";
1420021;"Raciąż (1)";"urbanization rate";"2023";100.0;"%";"";
1420032;"Baboszewo (2)";"population per 1 km2";"2023";45.7;"person";"";
1420032;"Baboszewo (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420032;"Baboszewo (2)";"population chenge per 1000 inhabitants";"2023";-4.6;"person";"";
1420032;"Baboszewo (2)";"population in thousands";"2023";7.41;"thousand persons";"";
1420032;"Baboszewo (2)";"population in thousands men";"2023";3.72;"thousand persons";"";
1420032;"Baboszewo (2)";"population in thousands women";"2023";3.70;"thousand persons";"";
1420032;"Baboszewo (2)";"urbanization rate";"2023";0.0;"%";"";
1420043;"Czerwińsk nad Wisłą (3)";"population per 1 km2";"2023";49.6;"person";"";
1420043;"Czerwińsk nad Wisłą (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420043;"Czerwińsk nad Wisłą (3)";"population chenge per 1000 inhabitants";"2023";-5.7;"person";"";
1420043;"Czerwińsk nad Wisłą (3)";"population in thousands";"2023";7.14;"thousand persons";"";
1420043;"Czerwińsk nad Wisłą (3)";"population in thousands men";"2023";3.56;"thousand persons";"";
1420043;"Czerwińsk nad Wisłą (3)";"population in thousands women";"2023";3.59;"thousand persons";"";
1420043;"Czerwińsk nad Wisłą (3)";"urbanization rate";"2023";13.7;"%";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population per 1 km2";"2023";178.0;"person";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population chenge per 1000 inhabitants";"2023";-20.0;"person";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population in thousands";"2023";0.98;"thousand persons";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population in thousands men";"2023";0.49;"thousand persons";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"population in thousands women";"2023";0.49;"thousand persons";"";
1420044;"Czerwińsk nad Wisłą - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population per 1 km2";"2023";44.5;"person";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population chenge per 1000 inhabitants";"2023";-3.4;"person";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population in thousands";"2023";6.16;"thousand persons";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population in thousands men";"2023";3.06;"thousand persons";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"population in thousands women";"2023";3.10;"thousand persons";"";
1420045;"Czerwińsk nad Wisłą - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1420052;"Dzierzążnia (2)";"population per 1 km2";"2023";32.6;"person";"";
1420052;"Dzierzążnia (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420052;"Dzierzążnia (2)";"population chenge per 1000 inhabitants";"2023";-6.2;"person";"";
1420052;"Dzierzążnia (2)";"population in thousands";"2023";3.35;"thousand persons";"";
1420052;"Dzierzążnia (2)";"population in thousands men";"2023";1.67;"thousand persons";"";
1420052;"Dzierzążnia (2)";"population in thousands women";"2023";1.67;"thousand persons";"";
1420052;"Dzierzążnia (2)";"urbanization rate";"2023";0.0;"%";"";
1420062;"Joniec (2)";"population per 1 km2";"2023";38.0;"person";"";
1420062;"Joniec (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420062;"Joniec (2)";"population chenge per 1000 inhabitants";"2023";8.7;"person";"";
1420062;"Joniec (2)";"population in thousands";"2023";2.78;"thousand persons";"";
1420062;"Joniec (2)";"population in thousands men";"2023";1.35;"thousand persons";"";
1420062;"Joniec (2)";"population in thousands women";"2023";1.43;"thousand persons";"";
1420062;"Joniec (2)";"urbanization rate";"2023";0.0;"%";"";
1420072;"Naruszewo (2)";"population per 1 km2";"2023";36.8;"person";"";
1420072;"Naruszewo (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420072;"Naruszewo (2)";"population chenge per 1000 inhabitants";"2023";-18.1;"person";"";
1420072;"Naruszewo (2)";"population in thousands";"2023";5.88;"thousand persons";"";
1420072;"Naruszewo (2)";"population in thousands men";"2023";2.97;"thousand persons";"";
1420072;"Naruszewo (2)";"population in thousands women";"2023";2.91;"thousand persons";"";
1420072;"Naruszewo (2)";"urbanization rate";"2023";0.0;"%";"";
1420083;"Nowe Miasto (3)";"population per 1 km2";"2023";38.6;"person";"";
1420083;"Nowe Miasto (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420083;"Nowe Miasto (3)";"population chenge per 1000 inhabitants";"2023";-2.4;"person";"";
1420083;"Nowe Miasto (3)";"population in thousands";"2023";4.55;"thousand persons";"";
1420083;"Nowe Miasto (3)";"population in thousands men";"2023";2.27;"thousand persons";"";
1420083;"Nowe Miasto (3)";"population in thousands women";"2023";2.28;"thousand persons";"";
1420083;"Nowe Miasto (3)";"urbanization rate";"2023";33.3;"%";"";
1420084;"Nowe Miasto - urban area (4)";"population per 1 km2";"2023";169.7;"person";"";
1420084;"Nowe Miasto - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420084;"Nowe Miasto - urban area (4)";"population chenge per 1000 inhabitants";"2023";-10.5;"person";"";
1420084;"Nowe Miasto - urban area (4)";"population in thousands";"2023";1.51;"thousand persons";"";
1420084;"Nowe Miasto - urban area (4)";"population in thousands men";"2023";0.74;"thousand persons";"";
1420084;"Nowe Miasto - urban area (4)";"population in thousands women";"2023";0.77;"thousand persons";"";
1420084;"Nowe Miasto - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
1420085;"Nowe Miasto - rural area (5)";"population per 1 km2";"2023";27.8;"person";"";
1420085;"Nowe Miasto - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420085;"Nowe Miasto - rural area (5)";"population chenge per 1000 inhabitants";"2023";1.7;"person";"";
1420085;"Nowe Miasto - rural area (5)";"population in thousands";"2023";3.03;"thousand persons";"";
1420085;"Nowe Miasto - rural area (5)";"population in thousands men";"2023";1.53;"thousand persons";"";
1420085;"Nowe Miasto - rural area (5)";"population in thousands women";"2023";1.51;"thousand persons";"";
1420085;"Nowe Miasto - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
1420092;"Płońsk (2)";"population per 1 km2";"2023";66.6;"person";"";
1420092;"Płońsk (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
1420092;"Płońsk (2)";"population chenge per 1000 inhabitants";"2023";10.6;"person";"";
1420092;"Płońsk (2)";"population in thousands";"2023";8.45;"thousand persons";"";
1420092;"Płońsk (2)";"population in thousands men";"2023";4.21;"thousand persons";"";
1420092;"Płońsk (2)";"population in thousands women";"2023";4.25;"thousand persons";"";
